protein,pvalue,log2FC,adj_pvalue
SMARCA4,0.06249163354968707,-0.9732794460051473,0.14002754925022473
CTNNB1,0.009591505516701066,0.31309152868784906,0.036908655504195975
CSNK2A1;CSNK2A3,0.21648625356800447,0.1609042737454942,0.3392137124252617
ATXN2,0.15280518720199504,0.4270672482708875,0.2651870101401954
POLR1C,0.2022719926613845,-0.1420598451416808,0.32180306794484687
HARS2,0.2886587787884982,0.329481580133006,0.4210976692574341
RDX,0.10957984200299965,1.0521505159843052,0.2100923379247652
RPL5,0.4678491174547616,-0.047882616481317086,0.5951958982572844
SUCLA2,0.1826785889717459,0.4591794202117754,0.2998296659988415
RPS14,0.49958168637947675,-0.07058979954935296,0.6221205905857635
RPS29,0.01865522876299938,0.6219520493778603,0.058294244255111406
SMARCE1,0.0847893030283512,-0.30129721317339886,0.17356306578547834
PFKM,0.001938831601707113,-0.30058983901184533,0.011112566390837084
TPP1,0.1263171364533623,0.9329721270657068,0.23119220436590174
VPS45,0.9123635620689751,0.032985232662870345,0.9417667479555581
BLVRB,0.0016419839515587932,1.8053675223860743,0.009744526012248097
VPS33A,0.7145380736243003,-0.07672581870833284,0.7989034519269641
SEC23B,0.8249008001764306,0.03971376988356923,0.8806356125781987
EEF1A2,0.12264907519612671,-0.4378405616760723,0.22768939376896116
CD59,0.016079282352135953,2.364092334912524,0.05279819369821799
HMBS,0.4118427659768424,0.4051705003641075,0.5421876317968193
SSR1,0.02049551904373351,2.1544004628196767,0.06269556246804998
HEBP1,0.20323938707346698,0.5333297385494014,0.32287044861124076
PPM1B,0.6526814498222696,-0.2065332341665389,0.7495287254860753
RB1,0.0040315480904890445,-0.9350879551229809,0.019093798063988452
C8orf33,0.916556151974949,-0.0416142606158445,0.9438578245869688
PGM1,0.10269544610355569,-0.24422326044636833,0.2002423291079179
RPL29,0.3559078526371369,1.8107423523648336,0.4878334191590209
MCM4,1.457221034319033e-07,-1.1366860536425243,1.6273425117886587e-05
PDCD11,0.006741585861565722,-0.5051235678449331,0.028236873089404122
UBA6,0.002428011996622677,0.9529293841145758,0.013154751563791518
ILVBL,0.6410527724140052,-0.19900183031985463,0.7418772254610537
SH3PXD2B,0.06298290218255621,0.20072676889557428,0.14069411379857172
ACO2,0.6355513621727018,0.04413796479801135,0.7382564622998105
CNOT1,0.41446358231519814,-0.25913392958688064,0.5437961941460853
MAP1LC3B;MAP1LC3B2,0.9766901792889003,0.0021276370624825347,0.9843735356275913
PGP,0.08193484045403347,-0.5019775470116272,0.1698657313039681
HMGN1,0.3588425691453952,-0.4532553558276078,0.490313121454624
HCFC1,0.06787239958844925,-0.5437804745338575,0.14992503681911
NUDT5,0.00018765615448994316,-0.2703121799554573,0.0021357801523922155
WBP2,0.09759520559719424,0.2917611968209535,0.1928550775438553
HN1L,0.017025997844240772,-0.13398482280654989,0.055018728938807715
SMCHD1,0.09105637109879916,-0.9306021250196785,0.18339397587043027
CD81,0.19425306977473022,1.0422116950177447,0.3124218649435996
PPP2R4;DKFZp781M17165,0.485719172016506,-0.0752444572513511,0.6105483106979819
MANF,1.4226670162918043e-06,0.8337826440358889,7.746421903708875e-05
RPL23A,0.004407750697610628,-0.14442295740689204,0.020339154702110063
MATR3,0.00023316830169626597,-0.27401219703453705,0.0025586808651387057
SRRM1,0.04027080620533911,-0.21165610453149242,0.1025845800178112
EIF3L,0.5027194076632853,-0.08650348028725574,0.6238204892907177
UBE2I,0.002360748611643909,-0.2602205421307566,0.01294200298291258
ARCN1,0.5034429010650044,0.06337664356696848,0.6240743531699372
STX12,0.8013400017740279,0.11537405293359981,0.8620468464524526
PSMD10,0.05045031338154368,0.16513141596393766,0.1208809488943918
CAPZB,0.00020427103925264205,0.2571832248871928,0.0023051933859702303
NRD1,0.07228127170623826,-0.2247550360351127,0.1561791763652648
PRPS1,0.00011455158154430981,-1.0100989239945264,0.0015231045914475799
LPHN2;ADGRL2,0.1239348463605326,-0.9534986884240055,0.22894834213167092
GUK1,0.9433286640951518,0.04173089674323194,0.9605476481580487
PABPC4,0.11098684304340808,-0.13285220632074513,0.21204328434082703
