"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STAM__1761",-0.158677497479964,24.9205824406612,-0.338580966802221,0.739163721893218,0.849550705162759,-7.04915427652704
"SARS__1105",-0.0426034909687942,25.9148091944816,-0.336937441406891,0.740379955947696,0.850188816414717,-7.04973491646483
"UFC1__2139",0.0309268231555748,24.9123880508644,0.336775780754909,0.740499625683525,0.850188816414717,-7.04979187890859
"RNMT__493",-0.119670993642575,23.8828921027899,-0.334858695335343,0.741919275643552,0.850780932525173,-7.05046532354308
"COX6C__739",-0.121225043171616,25.129160456378,-0.33453803713727,0.74215682494871,0.850780932525173,-7.05057759594262
"DKC1__541",-0.0441181212668802,25.2094581079236,-0.334497006587906,0.742187223047672,0.850780932525173,-7.05059195435521
"CSTF3__1422",-0.169936885638688,23.934392308453,-0.331431195050187,0.744459815190767,0.85293712650473,-7.05165990237203
"GRHPR__2052",0.173685567135493,24.9353836800226,0.329582452791352,0.745831408512316,0.854059310062999,-7.05229920526777
"FAM50A__1489",0.123582349313189,24.1680004067918,0.327664935652583,0.747254956558204,0.854635287205463,-7.05295856196767
"NUP155__278",-0.0465942199727252,24.7476217932795,-0.327393357641603,0.747456650014469,0.854635287205463,-7.0530516396667
"PAK1__1428",-0.0999159678350487,23.3813451820161,-0.326848233202463,0.74786155581738,0.854635287205463,-7.05323823976608
"MRPL19__1100",0.126119672595575,23.5570594320042,0.326093540003968,0.748422249860434,0.854635287205463,-7.05349607012605
"LIMCH1__2104",-0.110068865300054,24.2429149339658,-0.325927112633351,0.748545915488074,0.854635287205463,-7.05355284852255
"NT5DC2__1952",0.146369345154863,23.5519911787057,0.325734881059403,0.748688763998174,0.854635287205463,-7.05361839467263
"CNP__736",0.0914919334537956,24.5546090339807,0.3204973102696,0.752584445789639,0.858183118634625,-7.0553895817046
"RPS15__401",-0.114494085401898,27.6192418552469,-0.320496796116321,0.752584828554699,0.858183118634625,-7.05538975418383
"BOLA2;BOLA2B__1940",0.0323065803230342,27.7696327905024,0.319911079508128,0.753020912579643,0.858231055781508,-7.05558606275585
"ATP6V1A__1021",-0.0338864204806768,25.3241695565042,-0.31922839420983,0.753529301434818,0.858361306759954,-7.05581442371304
