"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACSL3__623",1.08604399134836,24.2023708313404,6.13532739696541,1.21285674544555e-05,0.000214775708643621,3.06356781236466
"ANXA2;ANXA2P2__700",1.22820570087322,30.2073312625806,6.13529998389597,1.21292066864855e-05,0.000214775708643621,3.0635140289686
"UBE2T__1975",-1.49067214041844,24.3020786497434,-6.12333132718458,1.24116613129199e-05,0.000218004825318868,3.04002260433822
"CNPY2__2118",0.824493739777939,26.2900248420875,6.08030858873443,1.34845467644723e-05,0.000234954742824165,2.9554257798642
"WDR1__545",0.590492549387626,27.4951791248736,6.06547560222456,1.38763543423639e-05,0.000239862696489433,2.92620351995459
"HSPA2__1185",-1.62462681828031,24.3091178744021,-5.99746959006428,1.58295884114204e-05,0.000271471209134437,2.79186207398706
"PXDN__1755",1.19864775085103,24.1579046587592,5.98579573940821,1.61925240473453e-05,0.00027552591699311,2.76874136434079
"TXNDC12__634",0.5482409940367,26.1111886755263,5.98054017006266,1.63587199288512e-05,0.000276196062054557,2.75832672439919
"NCAPG__1867",-1.03971322438026,23.2158346785292,-5.91793424217544,1.84799346691778e-05,0.000309609982380533,2.63399372932145
"DDX21__1990",-0.514105089562236,26.6472568002827,-5.91152834341808,1.87124733281072e-05,0.000311112724493264,2.6212438117465
"DCX__120",-2.60086354297705,24.2643562226812,-5.89578346942417,1.9296979909149e-05,0.000318400168500958,2.58988414046556
"NQO1__198",2.59637700750768,25.4698983446549,5.87456317192371,2.01147876306043e-05,0.000329398552326738,2.54756947033073
"SEC22B__559",0.680560982222342,26.4426930195886,5.84308882347609,2.1394377726088e-05,0.000347738467816564,2.48470357070014
"NACA__275",-0.315478342986751,28.2968025679745,-5.80279240899436,2.31565547271553e-05,0.000373592416264772,2.40403652707248
"FBLIM1__1730",1.56632418210927,24.8452852055776,5.79447863371046,2.35384252662649e-05,0.000376960957572977,2.3873686173255
"GSTO1__1332",0.640951186782051,26.8632559175243,5.7762332993371,2.43994681815406e-05,0.000385409506179763,2.35075948343357
"IARS__1041",-0.432554660835102,25.1372151097164,-5.77580876872633,2.44198860664863e-05,0.000385409506179763,2.34990717777864
"CTSD__117",0.544745056949992,27.2044954739681,5.76509869113362,2.4940874677235e-05,0.000390800180194373,2.328397845175
"CBS__747",-1.80169171513375,25.0821172187766,-5.73668681621892,2.63793618475044e-05,0.000409288439345392,2.27126943319317
"RCN1__1534",0.699103180527338,26.3382924027535,5.73444154354982,2.64966345030763e-05,0.000409288439345392,2.26675060812087
"GRN__938",0.900897563029197,27.1844645910798,5.72673193175868,2.69034315644866e-05,0.000412645591179238,2.25122960705943
"DNAJA2__543",0.394199089964047,25.7747019849441,5.72299858998333,2.7102734731699e-05,0.000412795498221262,2.24371103983056
"FEN1__1026",-0.550529856955219,26.58585879366,-5.70566973608684,2.80479994831906e-05,0.000424225992183257,2.20879035670408
"MSH6__1161",-0.972587449566454,25.5629980732612,-5.70050902396285,2.8336041873241e-05,0.000425626891033923,2.19838358694635
"S100A11__979",1.97553397350179,26.7455497921692,5.67111325887683,3.00360492750493e-05,0.000448072022746968,2.13904466379802
"PDIA3__958",0.512671337919528,29.1138538218176,5.65619874902508,3.09385233815582e-05,0.000457040272882913,2.10889822339663
"RBM39__1493",-0.545442220816238,25.6503725557286,-5.65427558882495,3.10569147780859e-05,0.000457040272882913,2.10500903583216
"NCL__855",-0.420005460768905,28.703099256696,-5.63959200258622,3.1976411206424e-05,0.000467413581259004,2.07530001885562
"ATXN10__2045",0.623309690676329,25.8800305880675,5.62955344037576,3.26211711325668e-05,0.000473659404844869,2.05497441787512
"FKBP4__1366",-0.421444712954806,26.9667672963971,-5.59766172360176,3.47600201820937e-05,0.0005013730063351,1.9903224037611
"POLDIP3__307",-0.501405928158665,24.1467376585877,-5.56563414165,3.70539559247869e-05,0.000530944184238066,1.92527455169732
"PITRM1__1601",1.32024250654916,23.9583176457465,5.54153944136533,3.88822901412488e-05,0.000553500836128366,1.8762594744174
"MTA1__1440",-1.65049522445556,23.5353937912836,-5.53097209896022,3.97132716598636e-05,0.000561659127760928,1.85474144626305
"CDH2__853",0.605719576715519,24.723177621948,5.51874455361915,4.06977083978776e-05,0.000571868444455337,1.82982671453309
"RPN1__664",0.5214631680591,26.9144114253752,5.50759062828833,4.16176572358836e-05,0.000577760162076139,1.80708459596575
"DDAH1__596",0.583203559263094,27.5451642053405,5.50723257309896,4.16475415270678e-05,0.000577760162076139,1.80635430878656
"SCARB2__125",0.710591452463426,26.2471070456747,5.49631815249803,4.2569187317003e-05,0.000580900201159261,1.78408628834861
"FHL2__67",1.60744595797999,24.4746149436663,5.49545338642512,4.26431040290915e-05,0.000580900201159261,1.78232137769427
"RRM1__897",-1.42775488075688,24.3750816769119,-5.49509206357526,4.26740276333709e-05,0.000580900201159261,1.78158392462419
"MSI2__195",-2.23173694629818,24.2226666244298,-5.47966896163713,4.40157939768843e-05,0.000595443473799094,1.75009180841202
"LAMC1__758",1.35996621346061,23.9730566455605,5.47109742872065,4.47802218239082e-05,0.000602045204521432,1.73257809412171
"BAZ1B__2075",-0.918199162276064,25.0021140952373,-5.461293766999,4.56713344417691e-05,0.000610258689657503,1.71253665374378
"DCTPP1__1949",-0.671166136194213,25.2788216789013,-5.43573917725062,4.80810819898346e-05,0.00063854022301134,1.66024503720921
"NFKB2__1350",1.39471297647399,23.6076124619749,5.41398747962904,5.023533029167e-05,0.000663106359850044,1.61567764127274
"SUMF2__380",1.97227283879293,25.0812692075151,5.37572351688094,5.42694592865658e-05,0.00070883709102317,1.53715093339845
"RTN4__1983",0.574862579658117,28.1857960421831,5.37498350828278,5.43506860426398e-05,0.00070883709102317,1.53563067547454
"TAGLN3__2072",2.22598208139113,25.3729195786248,5.35629753378551,5.64437770396342e-05,0.000731753252335257,1.49722281799865
"AMPD2__333",0.336607396089615,24.2359439004929,5.33776851589952,5.86013236464631e-05,0.000755228892911223,1.45910016960146
"GART__881",-0.407124906461046,26.5014108135551,-5.31577217281218,6.12732268961944e-05,0.000785018165764184,1.4137956770659
"LARS__2044",-0.362968659233136,25.620251713358,-5.31036226690491,6.19493783941053e-05,0.000789039451124921,1.40264530295279
