protein,pvalue,log2FC,adj_pvalue
CYCS,0.26248860877070046,0.18352057700703028,0.46291513352436076
MRPS34,0.8276528787672158,0.07383894644237543,0.9076079518857464
FAM195B,0.8604002996613553,0.15861360066723762,0.9252863406875532
RPL24,0.33446449686464563,-0.06570188334798033,0.5352414946151346
C7orf50,0.3886718645661497,-0.16041838362681204,0.5923914072953632
CHCHD3,0.11294122540543444,0.2631109180472997,0.27423187172021873
DCUN1D1,0.5151381939574641,-0.22295819423125351,0.70167041053118
NRCAM,0.0027560013029866463,-1.2696401234050256,0.03094108679332431
UBE2H,0.24876542813476338,0.26402846004181413,0.45113330764156084
CTNND1,0.051158978025209675,0.3365642511943605,0.17218790994105346
RPL32,0.7320795145232372,-0.02630750466594378,0.852504668670136
CAMK2D,0.3854919792775014,0.06076565422375424,0.5897797238766388
HNRNPAB,0.047691215811448674,-0.164517193891065,0.16513746905776663
GNPDA1,0.17938005149115022,0.5369859075905268,0.3682278531081293
ELMOD2,0.9163230293513217,0.11027639304072778,0.9549050516397984
HSD17B11,0.48420866703450977,0.1466012557072105,0.6782035220586252
SEPT11,0.634259451391736,0.04976936724539982,0.7831162614122456
SEC31A,0.00899664039683896,0.3218827702481981,0.06283279541035115
PYCR1,0.8716579634738092,-0.03776401253028183,0.929409445318669
NUDCD2,0.10829515583546236,-0.09519205655261231,0.26755482794781105
TATDN1,0.809247656825743,0.11664596605740485,0.8983391419808706
ATOX1,0.23046697889692974,0.1937738205349433,0.4319768330787547
PFDN1,0.9962093424955146,-0.00024375505996232505,0.998501586725831
STMN2,0.025686758769434895,-3.743068086027588,0.11487835852120985
ERLIN2,0.555927912286818,0.07889969905836125,0.7313990664094226
TBCA,0.11982909421984832,-0.17090117858034048,0.28648492558817745
COPS6,0.4847748535165258,0.3166062744539033,0.6784849536218315
NPC2,0.00011933607604876692,2.8982569193614474,0.0048753582371047505
MAP4K4,0.9420298505972918,0.033050613149711694,0.971687803259245
AP1M1,0.7358854162432656,-0.12045816652778285,0.8541783096455364
ADD1,0.0004388150656707886,0.6070386882823584,0.008791063000181234
RPL14,0.009575499378107701,-0.27894946657832875,0.0655831372500584
PRRC2C,0.8471929217136672,-0.029006067743704733,0.9161798329157732
NDUFV2,0.7851576187673367,-0.13261771015194768,0.8842157671537018
NAA50,0.17428404008446502,-0.29532793309950023,0.363244630912885
EZR,0.0002915128342197031,0.552648159657668,0.006977087394840807
ACIN1,0.3314927764215795,-0.16630650115190093,0.5340172093536983
HMGB3,0.0013024250274327185,-0.46262411400384096,0.018911211398323073
CLASP2,0.6199223753982239,-0.2101248339425723,0.7759735690206664
ZC3H18,0.7570894939169883,0.15334129509240668,0.8652390181002032
MRPL22,0.9783263419058927,0.016096535607861284,0.9892269139605545
NEFM,0.0013629886006790825,1.2511802391944258,0.0194703623060079
MRPL3,0.305326742087142,-0.4957326520579777,0.5100174668730152
BZW2,0.8233248378116034,0.01647304786333237,0.90700466232129
MAP4,0.0002562939437687097,0.5813934323541048,0.006362459531266222
KLC1,0.5816818105475245,0.08719648633595511,0.7491175174675142
